participant_group,round,player_name,team,team_code,position,effective_position,is_playing_xi,sub_order,captain_flag,vice_flag,fantasy_points_final,potm_bonus,points_multiplier,counted_points,counted_points_type,subbed_out,subbed_in,final_playing_xi,team_round,match_date,match_id,chip_converter,chip_best11,chip_flexicap,chip_matchwinner,points_breakdown_str
Group 1,3,Jason Holder,West Indies,WI,AR,AR,1,0,0,0,195.0,50,1,195.0,PLAYING_XI,0,0,1,3,2026-02-15,1512743,0,0,0,0,Wickets: 4 → 120 | 3-Wicket bonus: 4 → 8 | Dot balls: 11 → 11 | Economy Rate: 6.75 → 2 | Announced: 1 → 4
Group 1,3,Marco Jansen,South Africa,SA,AR,AR,1,0,0,0,189.0,50,1,189.0,PLAYING_XI,0,0,1,3,2026-02-14,1512742,0,0,0,0,Wickets: 4 → 120 | 3-Wicket bonus: 4 → 8 | Dot balls: 9 → 9 | Economy Rate: 10.0 → -2 | Announced: 1 → 4
Group 1,3,Marcus Stoinis,Australia,AUS,AR,AR,1,0,0,0,73.0,0,1,73.0,PLAYING_XI,0,0,1,3,2026-02-16,1512748,0,0,0,0,Runs: 4 → 4 | Wickets: 2 → 60 | Dot balls: 9 → 9 | Economy Rate: 11.5 → -4 | Announced: 1 → 4
Group 1,3,Naseem Shah,Pakistan,PAK,BOWL,BOWL,1,0,0,0,0.0,0,1,0.0,PLAYING_XI,0,0,1,3,2026-02-15,1512745,0,0,0,0,DID NOT PLAY
Group 1,3,Nathan Ellis,Australia,AUS,BOWL,BOWL,1,0,0,0,14.0,0,1,14.0,PLAYING_XI,0,0,1,3,2026-02-16,1512748,0,0,0,0,Dot balls: 4 → 4 | Catches: 1 → 8 | Economy Rate: 10.67 → -2 | Announced: 1 → 4
Group 1,3,Xavier Bartlett,Australia,AUS,BOWL,BOWL,0,3,0,0,5.0,0,1,5.0,PLAYING_XI,0,1,1,3,2026-02-16,1512748,0,0,0,0,Dot balls: 5 → 5 | Economy Rate: 11.0 → -4 | Announced: 1 → 4
Group 1,3,Sanju Samson,India,IND,WK,WK,0,2,0,0,0.0,0,1,0.0,SUB,0,0,0,3,2026-02-15,1512745,0,0,0,0,DID NOT PLAY
Group 1,3,Steven Smith,Australia,AUS,BAT,BAT,0,1,0,0,0.0,0,1,0.0,SUB,0,0,0,3,2026-02-16,1512748,0,0,0,0,DID NOT PLAY
Group 1,3,Charith Asalanka,Sri Lanka,SL,AR,AR,0,4,0,0,0.0,0,1,0.0,SUB,0,0,0,3,2026-02-16,1512748,0,0,0,0,DID NOT PLAY
Group 1,3,Anrich Nortje,South Africa,SA,BOWL,BOWL,1,0,0,0,0.0,0,1,0.0,SUB,1,0,0,3,2026-02-14,1512742,0,0,0,0,DID NOT PLAY
