player_name_str,canonical_player_name,fantasy_points_final,points_pairs_str,nation_code,role,match_id,team1,team2,runs,balls_faced,fours,sixes,is_out,wickets,bowled_lbw_wickets,maidens,legal_balls_bowled,runs_conceded_by_bowler,dot_balls,catches,stumpings,runouts_direct,runouts_indirect,strike_rate,bowling_economy,played_match_flag,is_captain_flag,is_vicecaptain_flag,runs_points_int,boundary_points_int,six_points_int,milestone_bonus_points_int,duck_points_int,wicket_points_int,lbw_bowled_bonus_points_int,maiden_points_int,wicket_haul_bonus_points_int,dot_ball_points_int,catch_points_int,catch_3_bonus_points_int,stumping_points_int,runout_direct_points_int,runout_indirect_points_int,strike_rate_points_int,economy_rate_points_int,appearance_points_int,batting_points_int,bowling_points_int,fielding_points_int,base_total_points_int,captain_multiplier_int,final_total_points_int,fantasy_points_int,eligible_fantasy_points_int,match_date_x,match_label_x,team_code,json_name_key,match_date_y,match_label_y
Abrar Ahmed,Abrar Ahmed,84,Wickets: 2 → 60 | LBW/Bowled bonus: 1 → 8 | Dot balls: 8 → 8 | Economy Rate: 5.75 → 4 | Announced: 1 → 4,PAK,BOWL,1512719,Netherlands,Pakistan,0,0,0,0,0,2,1,0,24,23,8,0,0,0,0,0.0,5.75,1,0,0,0,0,0,0,0,60,8,0,0,8,0,0,0,0,0,0,4,4,0,68,0,84,1,84,84,84,,,Pakistan,abrar ahmed,2026-02-07,Netherlands vs Pakistan
BA King,Brandon King,65,Runs: 35 → 35 | Fours: 4 → 16 | Sixes: 1 → 6 | Runs milestone bonus: 35 → 4 | Announced: 1 → 4,WI,BAT,1512720,West Indies,Scotland,35,30,4,1,1,0,0,0,0,0,0,0,0,0,0,116.67,0.0,1,0,0,35,16,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,61,0,0,65,1,65,65,65,,,West Indies,ba king,2026-02-07,West Indies vs Scotland
SD Hope,Shai Hope,31,Runs: 19 → 19 | Fours: 2 → 8 | Announced: 1 → 4,WI,WK,1512720,West Indies,Scotland,19,22,2,0,1,0,0,0,0,0,0,0,0,0,0,86.36,0.0,1,0,0,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,0,0,31,1,31,31,31,,,West Indies,sd hope,2026-02-07,West Indies vs Scotland
SO Hetmyer,Shimron Hetmyer,134,Runs: 64 → 64 | Fours: 2 → 8 | Sixes: 6 → 36 | Runs milestone bonus: 64 → 8 | Catches: 1 → 8 | Strike Rate: 177.78 → 6 | Announced: 1 → 4,WI,BAT,1512720,West Indies,Scotland,64,36,2,6,1,0,0,0,0,0,0,1,0,0,0,177.78,0.0,1,0,0,64,8,36,8,0,0,0,0,0,0,8,0,0,0,0,6,0,4,116,0,8,134,1,134,134,134,,,West Indies,so hetmyer,2026-02-07,West Indies vs Scotland
R Powell,Rovman Powell,58,Runs: 24 → 24 | Fours: 1 → 4 | Sixes: 2 → 12 | Catches: 1 → 8 | Strike Rate: 171.43 → 6 | Announced: 1 → 4,WI,BAT,1512720,West Indies,Scotland,24,14,1,2,1,0,0,0,0,0,0,1,0,0,0,171.43,0.0,1,0,0,24,4,12,0,0,0,0,0,0,0,8,0,0,0,0,6,0,4,40,0,8,58,1,58,58,58,,,West Indies,r powell,2026-02-07,West Indies vs Scotland
SE Rutherford,Sherfane Rutherford,78,Runs: 26 → 26 | Fours: 4 → 16 | Sixes: 1 → 6 | Runs milestone bonus: 26 → 4 | Catches: 2 → 16 | Strike Rate: 200.0 → 6 | Announced: 1 → 4,WI,BAT,1512720,West Indies,Scotland,26,13,4,1,1,0,0,0,0,0,0,2,0,0,0,200.0,0.0,1,0,0,26,16,6,4,0,0,0,0,0,0,16,0,0,0,0,6,0,4,52,0,16,78,1,78,78,78,,,West Indies,se rutherford,2026-02-07,West Indies vs Scotland
R Shepherd,Romario Shepherd,211,Runs: 6 → 6 | Sixes: 1 → 6 | Wickets: 5 → 150 | LBW/Bowled bonus: 2 → 16 | 3-Wicket bonus: 5 → 12 | Dot balls: 7 → 7 | Catches: 1 → 8 | Economy Rate: 6.67 → 2 | Announced: 1 → 4,WI,AR,1512720,West Indies,Scotland,6,3,0,1,0,5,2,0,18,20,7,1,0,0,0,200.0,6.67,1,0,0,6,0,6,0,0,150,16,0,12,7,8,0,0,0,0,0,2,4,12,178,8,211,1,211,211,211,,,West Indies,r shepherd,2026-02-07,West Indies vs Scotland
MW Forde,Matthew Forde,10,Runs: 1 → 1 | Dot balls: 5 → 5 | Announced: 1 → 4,WI,BOWL,1512720,West Indies,Scotland,1,2,0,0,0,0,0,0,12,15,5,0,0,0,0,50.0,7.5,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,1,0,0,10,1,10,10,10,,,West Indies,mw forde,2026-02-07,West Indies vs Scotland
JO Holder,Jason Holder,115,Wickets: 3 → 90 | 3-Wicket bonus: 3 → 4 | Dot balls: 9 → 9 | Catches: 1 → 8 | Announced: 1 → 4,WI,AR,1512720,West Indies,Scotland,0,0,0,0,0,3,0,0,23,30,9,1,0,0,0,0.0,7.83,1,0,0,0,0,0,0,0,90,0,0,4,9,8,0,0,0,0,0,0,4,0,94,8,115,1,115,115,115,,,West Indies,jo holder,2026-02-07,West Indies vs Scotland
AJ Hosein,Akeal Hosein,-1,Dot balls: 1 → 1 | Economy Rate: 13.0 → -6 | Announced: 1 → 4,WI,BOWL,1512720,West Indies,Scotland,0,0,0,0,0,0,0,0,12,26,1,0,0,0,0,0.0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-6,4,0,0,0,-1,1,-1,-1,-1,,,West Indies,aj hosein,2026-02-07,West Indies vs Scotland
S Joseph,Shamar Joseph,55,Wickets: 1 → 30 | Dot balls: 11 → 11 | Catches: 1 → 8 | Economy Rate: 6.5 → 2 | Announced: 1 → 4,WI,BOWL,1512720,West Indies,Scotland,0,0,0,0,0,1,0,0,24,26,11,1,0,0,0,0.0,6.5,1,0,0,0,0,0,0,0,30,0,0,0,11,8,0,0,0,0,0,2,4,0,30,8,55,1,55,55,55,,,West Indies,s joseph,2026-02-07,West Indies vs Scotland
G Motie,Gudakesh Motie,49,Wickets: 1 → 30 | LBW/Bowled bonus: 1 → 8 | Dot balls: 7 → 7 | Announced: 1 → 4,WI,AR,1512720,West Indies,Scotland,0,0,0,0,0,1,1,0,24,29,7,0,0,0,0,0.0,7.25,1,0,0,0,0,0,0,0,30,8,0,0,7,0,0,0,0,0,0,0,4,0,38,0,49,1,49,49,49,,,West Indies,g motie,2026-02-07,West Indies vs Scotland
Ishan Kishan,Ishan Kishan,52,Runs: 20 → 20 | Fours: 1 → 4 | Sixes: 2 → 12 | Stumpings: 1 → 12 | Announced: 1 → 4,IND,WK,1512721,India,United States of America,20,16,1,2,1,0,0,0,0,0,0,0,1,0,0,125.0,0.0,1,0,0,20,4,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,36,0,12,52,1,52,52,52,,,India,ishan kishan,2026-02-07,India vs United States of America
Abhishek Sharma,Abhishek Sharma,2,Duck: 0 → -2 | Announced: 1 → 4,IND,AR,1512721,India,United States of America,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,4,-2,0,0,2,1,2,2,2,,,India,abhishek sharma,2026-02-07,India vs United States of America
Tilak Varma,Tilak Varma,71,Runs: 25 → 25 | Fours: 3 → 12 | Sixes: 1 → 6 | Runs milestone bonus: 25 → 4 | Catches: 2 → 16 | Strike Rate: 156.25 → 4 | Announced: 1 → 4,IND,BAT,1512721,India,United States of America,25,16,3,1,1,0,0,0,0,0,0,2,0,0,0,156.25,0.0,1,0,0,25,12,6,4,0,0,0,0,0,0,16,0,0,0,0,4,0,4,47,0,16,71,1,71,71,71,,,India,tilak varma,2026-02-07,India vs United States of America
SA Yadav,Suryakumar Yadav,170,Runs: 84 → 84 | Fours: 10 → 40 | Sixes: 4 → 24 | Runs milestone bonus: 84 → 12 | Strike Rate: 171.43 → 6 | Announced: 1 → 4,IND,BAT,1512721,India,United States of America,84,49,10,4,1,0,0,0,0,0,0,0,0,0,0,171.43,0.0,1,0,0,84,40,24,12,0,0,0,0,0,0,0,0,0,0,0,6,0,4,160,0,0,170,1,170,170,170,,,India,sa yadav,2026-02-07,India vs United States of America
S Dube,Shivam Dube,10,Duck: 0 → -2 | Catches: 1 → 8 | Announced: 1 → 4,IND,AR,1512721,India,United States of America,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1,0,0,0,0,0,0,-2,0,0,0,0,0,8,0,0,0,0,0,0,4,-2,0,8,10,1,10,10,10,,,India,s dube,2026-02-07,India vs United States of America
