player_name_str,canonical_player_name,fantasy_points_final,points_pairs_str,nation_code,role,match_id,team1,team2,runs,balls_faced,fours,sixes,is_out,wickets,bowled_lbw_wickets,maidens,legal_balls_bowled,runs_conceded_by_bowler,dot_balls,catches,stumpings,runouts_direct,runouts_indirect,strike_rate,bowling_economy,played_match_flag,is_captain_flag,is_vicecaptain_flag,runs_points_int,boundary_points_int,six_points_int,milestone_bonus_points_int,duck_points_int,wicket_points_int,lbw_bowled_bonus_points_int,maiden_points_int,wicket_haul_bonus_points_int,dot_ball_points_int,catch_points_int,catch_3_bonus_points_int,stumping_points_int,runout_direct_points_int,runout_indirect_points_int,strike_rate_points_int,economy_rate_points_int,appearance_points_int,batting_points_int,bowling_points_int,fielding_points_int,base_total_points_int,captain_multiplier_int,final_total_points_int,fantasy_points_int,eligible_fantasy_points_int,match_date_x,match_label_x,team_code,json_name_key,match_date_y,match_label_y
JJ Bumrah,Jasprit Bumrah,67,Wickets: 1 → 30 | LBW/Bowled bonus: 1 → 8 | Dot balls: 13 → 13 | Catches: 1 → 8 | Economy Rate: 5.0 → 4 | Announced: 1 → 4,IND,BOWL,1512736,India,Namibia,0,0,0,0,0,1,1,0,24,20,13,1,0,0,0,0.0,5.0,1,0,0,0,0,0,0,0,30,8,0,0,13,8,0,0,0,0,0,4,4,0,38,8,67,1,67,67,67,,,India,jj bumrah,2026-02-12,India vs Namibia
JP Inglis,Josh Inglis,26,Runs: 8 → 8 | Sixes: 1 → 6 | Catches: 1 → 8 | Announced: 1 → 4,AUS,WK,1512737,Zimbabwe,Australia,8,4,0,1,1,0,0,0,0,0,0,1,0,0,0,200.0,0.0,1,0,0,8,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,14,0,8,26,1,26,26,26,,,Australia,jp inglis,2026-02-13,Zimbabwe vs Australia
TM Head,Travis Head,33,Runs: 17 → 17 | Fours: 3 → 12 | Announced: 1 → 4,AUS,BAT,1512737,Zimbabwe,Australia,17,15,3,0,1,0,0,0,0,0,0,0,0,0,0,113.33,0.0,1,0,0,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,0,0,33,1,33,33,33,,,Australia,tm head,2026-02-13,Zimbabwe vs Australia
C Green,Cameron Green,36,Duck: 0 → -2 | Wickets: 1 → 30 | Dot balls: 4 → 4 | Announced: 1 → 4,AUS,AR,1512737,Zimbabwe,Australia,0,2,0,0,1,1,0,0,7,6,4,0,0,0,0,0.0,5.14,1,0,0,0,0,0,0,-2,30,0,0,0,4,0,0,0,0,0,0,0,4,-2,30,0,36,1,36,36,36,,,Australia,c green,2026-02-13,Zimbabwe vs Australia
TH David,Tim David,2,Duck: 0 → -2 | Announced: 1 → 4,AUS,BAT,1512737,Zimbabwe,Australia,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,4,-2,0,0,2,1,2,2,2,,,Australia,th david,2026-02-13,Zimbabwe vs Australia
GJ Maxwell,Glenn Maxwell,50,Runs: 31 → 31 | Fours: 1 → 4 | Sixes: 1 → 6 | Runs milestone bonus: 31 → 4 | Dot balls: 1 → 1 | Announced: 1 → 4,AUS,AR,1512737,Zimbabwe,Australia,31,32,1,1,1,0,0,0,6,14,1,0,0,0,0,96.88,14.0,1,0,0,31,4,6,4,0,0,0,0,0,1,0,0,0,0,0,0,0,4,45,0,0,50,1,50,50,50,,,Australia,gj maxwell,2026-02-13,Zimbabwe vs Australia
MT Renshaw,Matt Renshaw,105,Runs: 65 → 65 | Fours: 5 → 20 | Sixes: 1 → 6 | Runs milestone bonus: 65 → 8 | Strike Rate: 147.73 → 2 | Announced: 1 → 4,AUS,BAT,1512737,Zimbabwe,Australia,65,44,5,1,1,0,0,0,0,0,0,0,0,0,0,147.73,0.0,1,0,0,65,20,6,8,0,0,0,0,0,0,0,0,0,0,0,2,0,4,99,0,0,105,1,105,105,105,,,Australia,mt renshaw,2026-02-13,Zimbabwe vs Australia
MP Stoinis,Marcus Stoinis,55,Runs: 6 → 6 | Fours: 1 → 4 | Wickets: 1 → 30 | Dot balls: 9 → 9 | Economy Rate: 6.0 → 2 | Announced: 1 → 4,AUS,AR,1512737,Zimbabwe,Australia,6,4,1,0,1,1,0,0,17,17,9,0,0,0,0,150.0,6.0,1,0,0,6,4,0,0,0,30,0,0,0,9,0,0,0,0,0,0,2,4,10,30,0,55,1,55,55,55,,,Australia,mp stoinis,2026-02-13,Zimbabwe vs Australia
BJ Dwarshuis,Ben Dwarshuis,16,Runs: 6 → 6 | Dot balls: 8 → 8 | Economy Rate: 10.0 → -2 | Announced: 1 → 4,AUS,BOWL,1512737,Zimbabwe,Australia,6,7,0,0,1,0,0,0,24,40,8,0,0,0,0,85.71,10.0,1,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,-2,4,6,0,0,16,1,16,16,16,,,Australia,bj dwarshuis,2026-02-13,Zimbabwe vs Australia
NT Ellis,Nathan Ellis,24,Runs: 7 → 7 | Fours: 1 → 4 | Dot balls: 9 → 9 | Announced: 1 → 4,AUS,BOWL,1512737,Zimbabwe,Australia,7,4,1,0,0,0,0,0,24,34,9,0,0,0,0,175.0,8.5,1,0,0,7,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,11,0,0,24,1,24,24,24,,,Australia,nt ellis,2026-02-13,Zimbabwe vs Australia
A Zampa,Adam Zampa,12,Runs: 2 → 2 | Dot balls: 6 → 6 | Announced: 1 → 4,AUS,BOWL,1512737,Zimbabwe,Australia,2,2,0,0,1,0,0,0,24,31,6,0,0,0,0,100.0,7.75,1,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,2,0,0,12,1,12,12,12,,,Australia,a zampa,2026-02-13,Zimbabwe vs Australia
MP Kuhnemann,Matthew Kuhnemann,9,Dot balls: 5 → 5 | Announced: 1 → 4,AUS,BOWL,1512737,Zimbabwe,Australia,0,1,0,0,1,0,0,0,18,24,5,0,0,0,0,0.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,9,1,9,9,9,,,Australia,mp kuhnemann,2026-02-13,Zimbabwe vs Australia
XC Bartlett,XC Bartlett,8,Catches: 1 → 8,AUS,AR,1512737,Zimbabwe,Australia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,8,1,8,8,0,,,,xc bartlett,2026-02-13,Zimbabwe vs Australia
PD Salt,Philip Salt,14,Runs: 2 → 2 | Catches: 1 → 8 | Announced: 1 → 4,ENG,WK,1512741,Scotland,England,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,66.67,0.0,1,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,2,0,8,14,1,14,14,14,,,England,pd salt,2026-02-14,Scotland vs England
JC Buttler,Jos Buttler,13,Runs: 3 → 3 | Runout - indirect: 1 → 6 | Announced: 1 → 4,ENG,WK,1512741,Scotland,England,3,4,0,0,1,0,0,0,0,0,0,0,0,0,1,75.0,0.0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,3,0,6,13,1,13,13,13,,,England,jc buttler,2026-02-14,Scotland vs England
JG Bethell,Jacob Bethell,62,Runs: 32 → 32 | Fours: 2 → 8 | Sixes: 1 → 6 | Runs milestone bonus: 32 → 4 | Catches: 1 → 8 | Announced: 1 → 4,ENG,AR,1512741,Scotland,England,32,28,2,1,1,0,0,0,0,0,0,1,0,0,0,114.29,0.0,1,0,0,32,8,6,4,0,0,0,0,0,0,8,0,0,0,0,0,0,4,50,0,8,62,1,62,62,62,,,England,jg bethell,2026-02-14,Scotland vs England
T Banton,Tom Banton,129,Runs: 63 → 63 | Fours: 4 → 16 | Sixes: 3 → 18 | Runs milestone bonus: 63 → 8 | Catches: 2 → 16 | Strike Rate: 153.66 → 4 | Announced: 1 → 4,ENG,WK,1512741,Scotland,England,63,41,4,3,0,0,0,0,0,0,0,2,0,0,0,153.66,0.0,1,0,0,63,16,18,8,0,0,0,0,0,0,16,0,0,0,0,4,0,4,105,0,16,129,1,129,129,129,,,England,t banton,2026-02-14,Scotland vs England
HC Brook,Harry Brook,14,Runs: 4 → 4 | Runout - indirect: 1 → 6 | Announced: 1 → 4,ENG,BAT,1512741,Scotland,England,4,4,0,0,1,0,0,0,0,0,0,0,0,0,1,100.0,0.0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,4,0,6,14,1,14,14,14,,,England,hc brook,2026-02-14,Scotland vs England
SM Curran,Sam Curran,107,Runs: 28 → 28 | Fours: 1 → 4 | Sixes: 2 → 12 | Runs milestone bonus: 28 → 4 | Wickets: 1 → 30 | Dot balls: 7 → 7 | Catches: 2 → 16 | Strike Rate: 140.0 → 2 | Announced: 1 → 4,ENG,AR,1512741,Scotland,England,28,20,1,2,1,1,0,0,22,33,7,2,0,0,0,140.0,9.0,1,0,0,28,4,12,4,0,30,0,0,0,7,16,0,0,0,0,2,0,4,48,30,16,107,1,107,107,107,,,England,sm curran,2026-02-14,Scotland vs England
WG Jacks,Will Jacks,42,Runs: 16 → 16 | Fours: 1 → 4 | Sixes: 1 → 6 | Catches: 1 → 8 | Strike Rate: 160.0 → 4 | Announced: 1 → 4,ENG,AR,1512741,Scotland,England,16,10,1,1,0,0,0,0,0,0,0,1,0,0,0,160.0,0.0,1,0,0,16,4,6,0,0,0,0,0,0,0,8,0,0,0,0,4,0,4,26,0,8,42,1,42,42,42,,,England,wg jacks,2026-02-14,Scotland vs England
J Overton,Jamie Overton,49,Wickets: 1 → 30 | Dot balls: 11 → 11 | Economy Rate: 5.75 → 4 | Announced: 1 → 4,ENG,AR,1512741,Scotland,England,0,0,0,0,0,1,0,0,24,23,11,0,0,0,0,0.0,5.75,1,0,0,0,0,0,0,0,30,0,0,0,11,0,0,0,0,0,0,4,4,0,30,0,49,1,49,49,49,,,England,j overton,2026-02-14,Scotland vs England
JC Archer,Jofra Archer,80,Wickets: 2 → 60 | Dot balls: 14 → 14 | Economy Rate: 6.0 → 2 | Announced: 1 → 4,ENG,BOWL,1512741,Scotland,England,0,0,0,0,0,2,0,0,24,24,14,0,0,0,0,0.0,6.0,1,0,0,0,0,0,0,0,60,0,0,0,14,0,0,0,0,0,0,2,4,0,60,0,80,1,80,80,80,,,England,jc archer,2026-02-14,Scotland vs England
LA Dawson,Liam Dawson,71,Wickets: 2 → 60 | Dot balls: 7 → 7 | Announced: 1 → 4,ENG,AR,1512741,Scotland,England,0,0,0,0,0,2,0,0,24,34,7,0,0,0,0,0.0,8.5,1,0,0,0,0,0,0,0,60,0,0,0,7,0,0,0,0,0,0,0,4,0,60,0,71,1,71,71,71,,,England,la dawson,2026-02-14,Scotland vs England
AU Rashid,Adil Rashid,123,Wickets: 3 → 90 | LBW/Bowled bonus: 2 → 16 | 3-Wicket bonus: 3 → 4 | Dot balls: 9 → 9 | Announced: 1 → 4,ENG,BOWL,1512741,Scotland,England,0,0,0,0,0,3,2,0,24,36,9,0,0,0,0,0.0,9.0,1,0,0,0,0,0,0,0,90,16,0,4,9,0,0,0,0,0,0,0,4,0,110,0,123,1,123,123,123,,,England,au rashid,2026-02-14,Scotland vs England
TL Seifert,Tim Seifert,27,Runs: 13 → 13 | Fours: 1 → 4 | Sixes: 1 → 6 | Announced: 1 → 4,NZ,WK,1512742,New Zealand,South Africa,13,9,1,1,1,0,0,0,0,0,0,0,0,0,0,144.44,0.0,1,0,0,13,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,0,0,27,1,27,27,27,,,New Zealand,tl seifert,2026-02-14,New Zealand vs South Africa
FH Allen,Finn Allen,73,Runs: 31 → 31 | Fours: 4 → 16 | Sixes: 2 → 12 | Runs milestone bonus: 31 → 4 | Strike Rate: 182.35 → 6 | Announced: 1 → 4,NZ,BAT,1512742,New Zealand,South Africa,31,17,4,2,1,0,0,0,0,0,0,0,0,0,0,182.35,0.0,1,0,0,31,16,12,4,0,0,0,0,0,0,0,0,0,0,0,6,0,4,63,0,0,73,1,73,73,73,,,New Zealand,fh allen,2026-02-14,New Zealand vs South Africa
R Ravindra,Rachin Ravindra,59,Runs: 13 → 13 | Fours: 1 → 4 | Sixes: 1 → 6 | Wickets: 1 → 30 | Dot balls: 2 → 2 | Announced: 1 → 4,NZ,AR,1512742,New Zealand,South Africa,13,8,1,1,1,1,0,0,6,9,2,0,0,0,0,162.5,9.0,1,0,0,13,4,6,0,0,30,0,0,0,2,0,0,0,0,0,0,0,4,23,30,0,59,1,59,59,59,,,New Zealand,r ravindra,2026-02-14,New Zealand vs South Africa
GD Phillips,Glenn Phillips,5,Runs: 1 → 1 | Announced: 1 → 4,NZ,AR,1512742,New Zealand,South Africa,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,33.33,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,5,1,5,5,5,,,New Zealand,gd phillips,2026-02-14,New Zealand vs South Africa
MS Chapman,Mark Chapman,98,Runs: 48 → 48 | Fours: 6 → 24 | Sixes: 2 → 12 | Runs milestone bonus: 48 → 4 | Strike Rate: 184.62 → 6 | Announced: 1 → 4,NZ,BAT,1512742,New Zealand,South Africa,48,26,6,2,1,0,0,0,0,0,0,0,0,0,0,184.62,0.0,1,0,0,48,24,12,4,0,0,0,0,0,0,0,0,0,0,0,6,0,4,88,0,0,98,1,98,98,98,,,New Zealand,Mark Chapman,2026-02-14,New Zealand vs South Africa
DJ Mitchell,Daryl Mitchell,72,Runs: 32 → 32 | Fours: 2 → 8 | Sixes: 1 → 6 | Runs milestone bonus: 32 → 4 | Catches: 2 → 16 | Strike Rate: 133.33 → 2 | Announced: 1 → 4,NZ,AR,1512742,New Zealand,South Africa,32,24,2,1,1,0,0,0,0,0,0,2,0,0,0,133.33,0.0,1,0,0,32,8,6,4,0,0,0,0,0,0,16,0,0,0,0,2,0,4,50,0,16,72,1,72,72,72,,,New Zealand,dj mitchell,2026-02-14,New Zealand vs South Africa
MJ Santner,Mitchell Santner,5,Runs: 4 → 4 | Dot balls: 3 → 3 | Strike Rate: 40.0 → -6 | Announced: 1 → 4,NZ,AR,1512742,New Zealand,South Africa,4,10,0,0,1,0,0,0,24,33,3,0,0,0,0,40.0,8.25,1,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,-6,0,4,4,0,0,5,1,5,5,5,,,New Zealand,mj santner,2026-02-14,New Zealand vs South Africa
JDS Neesham,James Neesham,76,Runs: 23 → 23 | Fours: 3 → 12 | Wickets: 1 → 30 | Dot balls: 3 → 3 | Strike Rate: 153.33 → 4 | Announced: 1 → 4,NZ,AR,1512742,New Zealand,South Africa,23,15,3,0,0,1,0,0,12,15,3,0,0,0,0,153.33,7.5,1,0,0,23,12,0,0,0,30,0,0,0,3,0,0,0,0,0,4,0,4,35,30,0,76,1,76,76,76,,,New Zealand,jds neesham,2026-02-14,New Zealand vs South Africa
MJ Henry,Matt Henry,25,Runs: 9 → 9 | Fours: 1 → 4 | Dot balls: 8 → 8 | Announced: 1 → 4,NZ,BOWL,1512742,New Zealand,South Africa,9,8,1,0,0,0,0,0,24,38,8,0,0,0,0,112.5,9.5,1,0,0,9,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,13,0,0,25,1,25,25,25,,,New Zealand,mj henry,2026-02-14,New Zealand vs South Africa
LH Ferguson,Lockie Ferguson,47,Wickets: 1 → 30 | LBW/Bowled bonus: 1 → 8 | Dot balls: 7 → 7 | Economy Rate: 10.42 → -2 | Announced: 1 → 4,NZ,BOWL,1512742,New Zealand,South Africa,0,0,0,0,0,1,1,0,19,33,7,0,0,0,0,0.0,10.42,1,0,0,0,0,0,0,0,30,8,0,0,7,0,0,0,0,0,0,-2,4,0,38,0,47,1,47,47,47,,,New Zealand,lh ferguson,2026-02-14,New Zealand vs South Africa
JA Duffy,Jacob Duffy,2,Dot balls: 4 → 4 | Economy Rate: 16.67 → -6 | Announced: 1 → 4,NZ,BOWL,1512742,New Zealand,South Africa,0,0,0,0,0,0,0,0,18,50,4,0,0,0,0,0.0,16.67,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,-6,4,0,0,0,2,1,2,2,2,,,New Zealand,ja duffy,2026-02-14,New Zealand vs South Africa
AK Markram,Aiden Markram,173,Runs: 86 → 86 | Fours: 8 → 32 | Sixes: 4 → 24 | Runs milestone bonus: 86 → 12 | Dot balls: 1 → 1 | Catches: 1 → 8 | Strike Rate: 195.45 → 6 | Announced: 1 → 4,SA,AR,1512742,New Zealand,South Africa,86,44,8,4,0,0,0,0,6,15,1,1,0,0,0,195.45,15.0,1,0,0,86,32,24,12,0,0,0,0,0,1,8,0,0,0,0,6,0,4,154,0,8,173,1,173,173,173,,,South Africa,ak markram,2026-02-14,New Zealand vs South Africa
Q de Kock,Quinton de Kock,52,Runs: 20 → 20 | Fours: 3 → 12 | Sixes: 1 → 6 | Catches: 1 → 8 | Strike Rate: 142.86 → 2 | Announced: 1 → 4,SA,WK,1512742,New Zealand,South Africa,20,14,3,1,1,0,0,0,0,0,0,1,0,0,0,142.86,0.0,1,0,0,20,12,6,0,0,0,0,0,0,0,8,0,0,0,0,2,0,4,38,0,8,52,1,52,52,52,,,South Africa,q de kock,2026-02-14,New Zealand vs South Africa
RD Rickelton,Ryan Rickelton,61,Runs: 21 → 21 | Fours: 2 → 8 | Sixes: 1 → 6 | Catches: 2 → 16 | Strike Rate: 190.91 → 6 | Announced: 1 → 4,SA,WK,1512742,New Zealand,South Africa,21,11,2,1,1,0,0,0,0,0,0,2,0,0,0,190.91,0.0,1,0,0,21,8,6,0,0,0,0,0,0,0,16,0,0,0,0,6,0,4,35,0,16,61,1,61,61,61,,,South Africa,rd rickelton,2026-02-14,New Zealand vs South Africa
D Brevis,Dewald Brevis,35,Runs: 21 → 21 | Fours: 1 → 4 | Sixes: 1 → 6 | Announced: 1 → 4,SA,BAT,1512742,New Zealand,South Africa,21,17,1,1,1,0,0,0,0,0,0,0,0,0,0,123.53,0.0,1,0,0,21,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,0,0,35,1,35,35,35,,,South Africa,d brevis,2026-02-14,New Zealand vs South Africa
DA Miller,David Miller,48,Runs: 24 → 24 | Fours: 1 → 4 | Sixes: 1 → 6 | Catches: 1 → 8 | Strike Rate: 141.18 → 2 | Announced: 1 → 4,SA,BAT,1512742,New Zealand,South Africa,24,17,1,1,0,0,0,0,0,0,0,1,0,0,0,141.18,0.0,1,0,0,24,4,6,0,0,0,0,0,0,0,8,0,0,0,0,2,0,4,34,0,8,48,1,48,48,48,,,South Africa,da miller,2026-02-14,New Zealand vs South Africa
T Stubbs,T Stubbs,12,Catches: 1 → 8 | Announced: 1 → 4,SA,AR,1512742,New Zealand,South Africa,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,8,12,1,12,12,12,,,,t stubbs,2026-02-14,New Zealand vs South Africa
C Bosch,Corbin Bosch,42,Wickets: 1 → 30 | Dot balls: 8 → 8 | Announced: 1 → 4,SA,AR,1512742,New Zealand,South Africa,0,0,0,0,0,1,0,0,24,34,8,0,0,0,0,0.0,8.5,1,0,0,0,0,0,0,0,30,0,0,0,8,0,0,0,0,0,0,0,4,0,30,0,42,1,42,42,42,,,South Africa,c bosch,2026-02-14,New Zealand vs South Africa
M Jansen,Marco Jansen,139,Wickets: 4 → 120 | 3-Wicket bonus: 4 → 8 | Dot balls: 9 → 9 | Economy Rate: 10.0 → -2 | Announced: 1 → 4,SA,AR,1512742,New Zealand,South Africa,0,0,0,0,0,4,0,0,24,40,9,0,0,0,0,0.0,10.0,1,0,0,0,0,0,0,0,120,0,0,8,9,0,0,0,0,0,0,-2,4,0,128,0,139,1,139,139,139,,,South Africa,m jansen,2026-02-14,New Zealand vs South Africa
K Rabada,Kagiso Rabada,16,Dot balls: 10 → 10 | Economy Rate: 6.75 → 2 | Announced: 1 → 4,SA,BOWL,1512742,New Zealand,South Africa,0,0,0,0,0,0,0,0,24,27,10,0,0,0,0,0.0,6.75,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,4,0,0,0,16,1,16,16,16,,,South Africa,k rabada,2026-02-14,New Zealand vs South Africa
KA Maharaj,Keshav Maharaj,48,Wickets: 1 → 30 | LBW/Bowled bonus: 1 → 8 | Dot balls: 6 → 6 | Announced: 1 → 4,SA,BOWL,1512742,New Zealand,South Africa,0,0,0,0,0,1,1,0,18,24,6,0,0,0,0,0.0,8.0,1,0,0,0,0,0,0,0,30,8,0,0,6,0,0,0,0,0,0,0,4,0,38,0,48,1,48,48,48,,,South Africa,ka maharaj,2026-02-14,New Zealand vs South Africa
L Ngidi,Lungi Ngidi,42,Wickets: 1 → 30 | Dot balls: 8 → 8 | Announced: 1 → 4,SA,BOWL,1512742,New Zealand,South Africa,0,0,0,0,0,1,0,0,24,34,8,0,0,0,0,0.0,8.5,1,0,0,0,0,0,0,0,30,0,0,0,8,0,0,0,0,0,0,0,4,0,30,0,42,1,42,42,42,,,South Africa,l ngidi,2026-02-14,New Zealand vs South Africa
BA King,Brandon King,42,Runs: 22 → 22 | Fours: 4 → 16 | Announced: 1 → 4,WI,BAT,1512743,Nepal,West Indies,22,17,4,0,1,0,0,0,0,0,0,0,0,0,0,129.41,0.0,1,0,0,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,38,0,0,42,1,42,42,42,,,West Indies,ba king,2026-02-15,Nepal vs West Indies
SD Hope,Shai Hope,121,Runs: 61 → 61 | Fours: 5 → 20 | Sixes: 3 → 18 | Runs milestone bonus: 61 → 8 | Catches: 1 → 8 | Strike Rate: 141.86 → 2 | Announced: 1 → 4,WI,WK,1512743,Nepal,West Indies,61,43,5,3,0,0,0,0,0,0,0,1,0,0,0,141.86,0.0,1,0,0,61,20,18,8,0,0,0,0,0,0,8,0,0,0,0,2,0,4,107,0,8,121,1,121,121,121,,,West Indies,sd hope,2026-02-15,Nepal vs West Indies
SO Hetmyer,Shimron Hetmyer,92,Runs: 46 → 46 | Fours: 4 → 16 | Sixes: 2 → 12 | Runs milestone bonus: 46 → 4 | Catches: 1 → 8 | Strike Rate: 143.75 → 2 | Announced: 1 → 4,WI,BAT,1512743,Nepal,West Indies,46,32,4,2,0,0,0,0,0,0,0,1,0,0,0,143.75,0.0,1,0,0,46,16,12,4,0,0,0,0,0,0,8,0,0,0,0,2,0,4,78,0,8,92,1,92,92,92,,,West Indies,so hetmyer,2026-02-15,Nepal vs West Indies
RL Chase,Roston Chase,50,Wickets: 1 → 30 | LBW/Bowled bonus: 1 → 8 | Dot balls: 4 → 4 | Economy Rate: 5.0 → 4 | Announced: 1 → 4,WI,AR,1512743,Nepal,West Indies,0,0,0,0,0,1,1,0,12,10,4,0,0,0,0,0.0,5.0,1,0,0,0,0,0,0,0,30,8,0,0,4,0,0,0,0,0,0,4,4,0,38,0,50,1,50,50,50,,,West Indies,rl chase,2026-02-15,Nepal vs West Indies
SE Rutherford,SE Rutherford,4,Announced: 1 → 4,WI,AR,1512743,Nepal,West Indies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,1,4,4,4,,,,se rutherford,2026-02-15,Nepal vs West Indies
R Powell,R Powell,12,Catches: 1 → 8 | Announced: 1 → 4,WI,AR,1512743,Nepal,West Indies,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,8,12,1,12,12,12,,,,r powell,2026-02-15,Nepal vs West Indies
JO Holder,Jason Holder,145,Wickets: 4 → 120 | 3-Wicket bonus: 4 → 8 | Dot balls: 11 → 11 | Economy Rate: 6.75 → 2 | Announced: 1 → 4,WI,AR,1512743,Nepal,West Indies,0,0,0,0,0,4,0,0,24,27,11,0,0,0,0,0.0,6.75,1,0,0,0,0,0,0,0,120,0,0,8,11,0,0,0,0,0,0,2,4,0,128,0,145,1,145,145,145,,,West Indies,jo holder,2026-02-15,Nepal vs West Indies
MW Forde,Matthew Forde,94,Wickets: 1 → 30 | LBW/Bowled bonus: 1 → 8 | Maiden overs: 1 → 12 | Dot balls: 18 → 18 | Catches: 2 → 16 | Economy Rate: 2.5 → 6 | Announced: 1 → 4,WI,BOWL,1512743,Nepal,West Indies,0,0,0,0,0,1,1,1,24,10,18,2,0,0,0,0.0,2.5,1,0,0,0,0,0,0,0,30,8,12,0,18,16,0,0,0,0,0,6,4,0,50,16,94,1,94,94,94,,,West Indies,mw forde,2026-02-15,Nepal vs West Indies
G Motie,Gudakesh Motie,8,Dot balls: 4 → 4 | Announced: 1 → 4,WI,AR,1512743,Nepal,West Indies,0,0,0,0,0,0,0,0,12,17,4,0,0,0,0,0.0,8.5,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,8,1,8,8,8,,,West Indies,g motie,2026-02-15,Nepal vs West Indies
AJ Hosein,Akeal Hosein,51,Wickets: 1 → 30 | LBW/Bowled bonus: 1 → 8 | Dot balls: 9 → 9 | Announced: 1 → 4,WI,BOWL,1512743,Nepal,West Indies,0,0,0,0,0,1,1,0,24,30,9,0,0,0,0,0.0,7.5,1,0,0,0,0,0,0,0,30,8,0,0,9,0,0,0,0,0,0,0,4,0,38,0,51,1,51,51,51,,,West Indies,aj hosein,2026-02-15,Nepal vs West Indies
S Joseph,Shamar Joseph,44,Wickets: 1 → 30 | Dot balls: 10 → 10 | Announced: 1 → 4,WI,BOWL,1512743,Nepal,West Indies,0,0,0,0,0,1,0,0,24,38,10,0,0,0,0,0.0,9.5,1,0,0,0,0,0,0,0,30,0,0,0,10,0,0,0,0,0,0,0,4,0,30,0,44,1,44,44,44,,,West Indies,s joseph,2026-02-15,Nepal vs West Indies
Ishan Kishan,Ishan Kishan,169,Runs: 77 → 77 | Fours: 10 → 40 | Sixes: 3 → 18 | Runs milestone bonus: 77 → 12 | Stumpings: 1 → 12 | Strike Rate: 192.5 → 6 | Announced: 1 → 4,IND,WK,1512745,India,Pakistan,77,40,10,3,1,0,0,0,0,0,0,0,1,0,0,192.5,0.0,1,0,0,77,40,18,12,0,0,0,0,0,0,0,0,12,0,0,6,0,4,147,0,12,169,1,169,169,169,,,India,ishan kishan,2026-02-15,India vs Pakistan
Abhishek Sharma,Abhishek Sharma,2,Duck: 0 → -2 | Announced: 1 → 4,IND,AR,1512745,India,Pakistan,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,4,-2,0,0,2,1,2,2,2,,,India,abhishek sharma,2026-02-15,India vs Pakistan
Tilak Varma,Tilak Varma,86,Runs: 25 → 25 | Fours: 2 → 8 | Sixes: 1 → 6 | Runs milestone bonus: 25 → 4 | Wickets: 1 → 30 | Dot balls: 5 → 5 | Economy Rate: 5.5 → 4 | Announced: 1 → 4,IND,BAT,1512745,India,Pakistan,25,24,2,1,1,1,0,0,12,11,5,0,0,0,0,104.17,5.5,1,0,0,25,8,6,4,0,30,0,0,0,5,0,0,0,0,0,0,4,4,43,30,0,86,1,86,86,86,,,India,tilak varma,2026-02-15,India vs Pakistan
